"COD_AZI","DIPENDENZA","DIP_VIA","DIP_CAP","DIP_CIT","DIP_PRO","RAG_SOC","IND_VIA","IND_CAP","IND_CIT","IND_PRO","PAR_IVA"
1,TORTRETESTE,"VIA FRANCESCO TOVAGLIERI, 21/2","00155",ROMA,RM,C.R. MARKET S.P.A.,"VIA FRANCESCO TOVAGLIERI, 21/2","00155",ROMA,RM,"07161151001"
2,CASEIFICIO DOMUS,"VIA BERNARDINO ALIMENA, 111","00173",ROMA,RM,C.R. MARKET S.P.A.,"VIA BERNARDINO ALIMENA, 111","00173",ROMA,RM,"07161151001"
4,COOKERY LAB,VIA PIEVE TORINA,"00100",ROMA,RM,COOKERY SRL,VIA PIEVE TORINA,"00100",ROMA,RM,"15022571002"
5,FUSANO,"VIA DI CASTEL FUSANO, 36","00122",ROMA,RM,C.R. MARKET S.P.A.,"VIA DI CASTEL FUSANO, 36","00122",ROMA,RM,"07161151001"
6,CASSIA,"VIA DOMENICO FALCIONI, 12","00123",ROMA,RM,C.R. MARKET S.P.A.,VIA DOMENICO FALCIONI 12,"00123",ROMA,RM,"07161151001"
9,TIBURTINA,"VIA TIBURTINA KM.21,200","00019",GUIDONIA,RM,C.R. MARKET S.P.A.,"VIA TIBURTINA KM.21,200","00019",GUIDONIA,RM,"07161151001"
10,BAR UNIEURO,"VIA VALLE LUPARA, 10","00148",ROMA,RM,COOKERY SRL,VIA VALLE LUPARA 10,"00148",ROMA,RM,"15634031007"
11,ANAGNINA,VIA TORRE MEZZAVIA 35,"00173",ROMA,RM,CR ITALY S.R.L.,"VIA GIACOMO ANDREASSI, 30","00123",ROMA,RM,"15022571002"
12,BAR ANAGNINA,VIA TORRE MEZZAVIA 35,"00173",ROMA,RM,COOKERY SRL,"VIA GIACOMO ANDREASSI, 30","00123",ROMA,RM,"15634031007"
15,SANTANDREA,VIA QUARTO PEPERINO,"00188",ROMA,RM,C.R. MARKET S.P.A.,VIA QUARTO PEPERINO,"00188",ROMA,RM,"07161151001"
16,BAR SANTANDREA,VIA QUARTO PEPERINO,"00188",ROMA,RM,COOKERY SRL,VIA QUARTO PEPERINO,"00188",ROMA,RM,"15634031007"
17,FORNO DOMUS,"VIA BERNARDINO ALIMENA, 111","00173",ROMA,RM,COOKERY SRL,"VIA BERNARDINO ALIMENA, 111","00173",,,"15634031007"
